date,total,Blekinge County,Dalarna County,Halland County,Jamtland County,Kronoberg County,Norrbotten County,Skåne County,Stockholm County,Varmland County,Västerbotten County,Västernorrland County,Västmanland County,Västra Götaland County,Örebro County
2020-03-20,-37.93255072093052,-27.16273319525489,-22.487816330212787,-25.833022088684185,-25.075186873728253,-33.45888,-31.317412964021223,-41.15944974164648,-45.3667856634515,-30.798341424393286,-28.603182833449935,-27.86246412965654,-40.1369221606713,-34.54775712862644,-36.108039423655235
2020-03-21,-27.893820552130162,-10.434356100076629,-16.303862317640803,-4.594970459212022,-16.94697903860741,-16.025280000000002,-18.75009578747848,-29.214261610103424,-39.870251719067745,-14.499977234108348,-25.754938217203186,-13.866604858589591,-24.16891900555461,-22.77265594712264,-21.047528644478746
2020-03-22,-33.15899076813429,-18.03600739927994,-22.392031994313935,-16.829976024599496,-34.36101960851613,-30.18912,-35.794931958071956,-39.78714389132835,-41.147757078327764,-22.49237935050688,-28.899795757438252,-25.06099441922133,-26.268999342536635,-31.184820645034584,-26.10586394126648
2020-03-23,-38.62015716815211,-26.67546052713537,-28.56034774796366,-27.725568467221596,-31.513759026084255,-35.96832,-35.06161212282448,-39.69474909630339,-45.69767106055714,-32.419205204638274,-31.244178675884342,-28.542246595278208,-39.35486352661223,-36.713503659224195,-37.569075329653316
2020-03-24,-37.80863577814501,-24.785672816294557,-27.74227132809283,-25.459232380005478,-29.755353547299595,-33.47328,-31.29898296816183,-39.767692355533626,-45.542298787133625,-26.447094014330826,-28.37406836331794,-27.62884874710487,-39.880126788293694,-36.67105695662005,-32.060588313669925
2020-03-25,-36.750904305740555,-24.334970307851346,-25.915527207736098,-24.93536043981183,-29.343689907236485,-29.31744,-32.36016272975011,-38.12695531124823,-44.853673525910885,-28.559040927995287,-30.000686033010258,-26.419601910372243,-37.81214587285886,-35.89158114516215,-30.44493507803507
2020-03-26,-35.58788562704775,-22.52128806444502,-23.98615701320202,-23.450584652560288,-30.8346572903885,-30.52224,-30.8372630718949,-39.058683875815746,-44.42975658237265,-24.86192782924599,-32.24239524699885,-30.543296388446215,-33.576967648116046,-33.47597788787184,-29.6111758068292
2020-03-27,-35.71099066824643,-27.601575111370646,-24.217798723488023,-22.933320106206917,-28.71521038249976,-29.69952,-36.6349517693475,-39.27751365350645,-44.09599392094435,-29.17747764414829,-34.13140127252699,-26.911726117878633,-35.08466775109064,-32.53250345271612,-31.686766668598747
2020-03-28,-29.860261604961728,-2.7822972834816433,-19.565416694115076,-9.648682833620642,-34.440295901150094,-12.179519999999998,-28.125143681217722,-29.214261610103424,-42.18453132259209,-14.999743566350555,-32.647385970136746,-13.866604858589591,-26.95767784118567,-26.969091318214033,-25.58721087349757
2020-03-29,-36.86995983900506,-23.297168479199225,-30.088987557614775,-24.359573262301694,-45.644041836046384,-35.22048,-38.06085144899537,-43.83987137416013,-45.26032688351317,-25.36458856109578,-31.5968818643448,-26.08449787802353,-32.36691672676096,-34.40594655401715,-29.006406757996768
2020-03-30,-39.65116188819106,-30.88695918607508,-31.469063907504403,-26.296483570909558,-31.063889943787913,-35.5728,-36.655321764771045,-40.51463133005121,-48.92116619004132,-28.09690179065163,-32.304189606163085,-28.542246595278208,-39.06110518396814,-34.95293019893872,-34.67929701055597
2020-03-31,-37.77381000991117,-25.739462115960553,-24.77979865350682,-23.410940289518603,-35.79945450859744,-32.636160000000004,-36.40215182164989,-38.2913207887137,-46.50426415900885,-22.291700977714644,-31.433364483171758,-28.976924397239106,-37.81214587285886,-35.56744268891234,-30.142550553618854
2020-04-01,-38.17390139380689,-30.88695918607508,-26.973064467354067,-26.35217446184906,-31.63601644123061,-36.144960000000005,-33.35053250724703,-42.287638817740756,-46.01608831226459,-26.028370871100872,-33.71785440735098,-27.410552406031996,-38.69828444951038,-36.68263333005754,-30.172886865129865
2020-04-02,-43.10053274651464,-30.79503959553732,-35.21344952820351,-31.926927036234062,-43.16832917933273,-38.152319999999996,-40.351020934470625,-44.37576118530492,-50.10468091476118,-33.26629948979012,-37.87138602563604,-33.65976388928921,-43.08520539429451,-42.76698226924684,-39.83157701395845
2020-04-03,-41.16648775715641,-29.7918311611736,-34.595738300774165,-30.578074779411146,-39.63528090881428,-39.849599999999995,-39.29372117201064,-44.88247369275761,-49.020911353226786,-31.446686936491282,-37.7373398003721,-32.9282796586766,-39.29455552249324,-37.61453139177577,-33.160524253617574
2020-04-04,-32.05752461004082,-13.913463182796125,-20.289663560452336,-8.729311176415935,-37.72023311687335,-15.38496,-28.125143681217722,-32.98007893996295,-42.4147124684047,-17.499540027430783,-32.2842252747408,-20.26709187644994,-31.1413024495042,-32.21415318318505,-20.634563371651424
2020-04-05,-37.750322863893004,-6.763502774729977,-38.485755207686836,-15.05825056199864,-44.61822571208401,-28.93056,-35.794931958071956,-36.25085468384663,-50.61971122851691,-34.45686252837484,-34.679945045415636,-29.66436638360017,-39.403499013804954,-32.482339167820314,-33.56468221019976
2020-04-06,-35.42509540809423,-21.995468471261276,-20.626863518463608,-19.15011517594361,-34.214883791974,-33.99168,-39.52458112014411,-38.60060020784989,-45.230595152179035,-18.01088395810331,-36.80472031821653,-25.917903301941603,-33.77442772611853,-30.678354307144243,-27.848733967108803
2020-04-07,-36.97362724211975,-17.159311949742385,-25.048581228733198,-19.898638506706785,-34.40400073102852,-27.61536,-29.938073273912874,-36.445370041793915,-48.84827549386732,-13.601748555889246,-28.930217595796027,-26.280773096970634,-41.35670017946494,-32.761136828106615,-30.964566736497883
2020-04-08,-36.050339433129636,-14.975974578797107,-24.593116937622312,-22.952198374322005,-34.84527358882239,-27.710399999999996,-32.029392804063086,-37.086298146230234,-45.42720821422732,-18.437325500286814,-30.797357925004512,-22.787074199712233,-38.40258068737859,-35.678382934354985,-30.172886865129865
2020-04-09,-37.138037264246925,-14.248524916046668,-26.026949802557215,-22.886124435919204,-36.179598658818136,-29.71872,-31.49395292435858,-40.93478450321736,-47.65804715239459,-16.10829861605383,-31.218510249769967,-27.737996917641304,-35.35897189885763,-33.384331598158354,-31.96957937913688
2020-04-10,-54.2196716321508,-39.43053919261693,-44.97465526924294,-43.757937663958685,-56.62237566176659,-55.63872,-59.08850672478216,-59.313568098867016,-60.05522003061906,-36.95762378932426,-56.00470305176773,-50.97506796079323,-56.97744595602555,-49.49960812093577,-48.880605160485096
2020-04-11,-36.00012553474596,-15.999939049733868,-24.999711669601126,-16.999880437635277,-41.00017033259662,-25.000320000000002,-24.99980438337728,-37.99954775179276,-45.00041400636643,-18.999803824026596,-36.99961022019603,-15.99978138451223,-33.00015077001029,-40.999655924456164,-26.000176146324893
