date,total,Antofagasta,Araucania,Arica y Parinacota,Atacama,Aysén,Bio Bio,Coquimbo,Los Lagos,Maule,O'Higgins,Santiago Metropolitan Region,Tarapacá,Valparaíso,Ñuble
2020-03-29,-72.47311331752914,-68.96458714619963,-75.7608426822433,-74.49265988174568,-61.32891258093105,-70.55037342497428,-75.46603440060458,-82.56877164605864,-71.90320332038716,-67.78101744269559,-67.02927630771433,-62.51835396331488,-71.6393238307383,-82.42882714566727,-67.4212363023058
2020-03-30,-60.515684883651474,-56.33685144022292,-67.26931009428526,-65.0127993775636,-47.43444671653465,-57.10052537552471,-60.74221425177369,-74.48411152328605,-58.67833785469206,-50.32967610758867,-49.75399546727546,-57.77585401236556,-63.376269149862885,-65.14554967602916,-43.688830287329324
2020-03-31,-56.94695136720567,-53.85503919734381,-65.95109525940425,-64.58727423818505,-48.01557316941716,-51.76057062431068,-56.0823174241068,-73.34113775935612,-58.53828486809216,-43.94201180481136,-44.35188155500661,-52.96224058697445,-61.485326657392676,-61.89428770061916,-54.281781871540524
2020-04-01,-59.21299261311469,-53.85981374956173,-68.92476502176339,-62.70103387820438,-49.5515439091905,-58.316478175629335,-57.34963337169683,-73.91647952754008,-61.094010402873735,-49.12603579387057,-50.00855034781816,-54.27303489965831,-62.30147812830687,-63.07043990131513,-58.657110525158956
2020-04-02,-60.77139855157165,-53.45302190059424,-68.99106008270128,-64.7542403803179,-43.824389788019474,-57.53803658954171,-58.897193525055826,-74.63541580738132,-60.65936320308095,-51.19079367815437,-52.29093151358631,-55.53481857455122,-63.31496199711816,-64.28412887437376,-58.024092439389186
2020-04-03,-61.78138712675325,-56.29006082848723,-66.751439980582,-65.96689161832266,-47.904700359327734,-62.91855529437321,-60.678131105744605,-71.16794565340163,-66.08665790449352,-52.82643599096073,-50.626755057707555,-58.387045495405836,-61.588782477649396,-65.6287153100303,-58.06738394981417
2020-04-04,-67.57917186167309,-62.97729866491756,-72.97548932486716,-69.14592696453188,-54.187174331032864,-68.39951807482892,-68.22081303985404,-77.66921126172488,-65.64235187803867,-60.761225493145474,-60.774499242950945,-56.631311471011834,-70.27045006085991,-76.58079050783684,-67.77815075492069
2020-04-05,-70.86163473101327,-64.12605592855111,-76.26141843222362,-74.49265988174568,-56.477271339431695,-71.4987972928875,-73.22408075445287,-81.18872237966093,-77.45799453373895,-65.56520318011144,-64.45119041229319,-58.26980436186667,-69.54625931906281,-80.30944322919218,-71.85813510408423
2020-04-06,-59.86031809322711,-53.193286259938944,-66.29506093789361,-63.41469487429215,-48.66934042890998,-59.81927607631464,-58.24584095123785,-73.4905146003419,-59.56791579026795,-48.072489715915886,-48.084077171985975,-55.64437176490749,-60.14040099405519,-64.37075219521061,-56.11349377929987
2020-04-07,-59.53384089456171,-53.6153566760038,-66.40363111015422,-65.83904325806095,-51.7823813121967,-58.321307217726655,-58.81206815197242,-74.23450764060658,-59.27042392907645,-48.77677805295957,-49.10708156033237,-55.79332566407611,-65.91476844319929,-63.53724335249153,-54.14228700461558
2020-04-08,-61.25468130132017,-55.038173236946434,-68.42034607984463,-61.66011924353623,-51.84546411793724,-58.65740854769997,-61.81345490181205,-75.09414726744092,-62.16903781036122,-50.25270470463307,-48.84678484037894,-56.178683816118806,-65.3409718104791,-66.76540577567837,-54.915761990875296
2020-04-09,-58.89777324888605,-54.73164698455544,-67.4480185194222,-60.01049375926381,-41.27144775570174,-53.40341074581819,-57.8154317614903,-73.32475449292541,-58.85316261727538,-48.89800801261463,-46.603639577250824,-53.090052642390106,-65.3409718104791,-64.00885921038109,-53.49964858319581
2020-04-10,-75.22806623040506,-64.09358897346921,-76.93878101137166,-72.0425510074764,-62.69570670530931,-77.92914974967589,-75.5855925088678,-78.77363616346496,-76.77221784073255,-72.59942726771574,-67.02736236124407,-73.02104534404945,-83.07310781763012,-79.49614649466837,-69.92059950417492
2020-04-11,-74.00015814576946,-68.9999188326123,-78.00046278436257,-76.000125622145,-62.99965113296825,-72.99966357673387,-77.0002040458381,-80.99983295493053,-71.00010302748439,-71.00034637131328,-68.9996841988324,-64.0002050118182,-77.99994092800387,-81.99956046685352,-73.00006894573882
