date,total,Aargau,Appenzell Ausserrhoden,Basel City,Basel-Landschaft,Canton of Bern,Geneva,Glarus,Grisons,Jura,Nidwalden,Obwalden,Solothurn,St. Gallen,Vaud,Zurich
2020-03-31,-84.45098722955746,-79.5198392368919,NA,-84.44101303351437,-74.7923977586738,-82.74276586534002,-90.92238431644569,NA,-83.6656740021809,-84.91700968306394,NA,NA,-81.55959688146486,-80.41969519908312,-85.26738089050674,-84.13934138393384
2020-04-01,-84.54920102924103,-79.8738629772695,NA,-85.37315532682436,-77.23101024213025,-82.09138419174496,-90.50320021266671,NA,-83.50689019685366,-84.69264439697277,NA,NA,-80.02312674429683,-80.75405858989875,-85.36288539974218,-84.24605131850589
2020-04-02,-84.4517922607024,-79.62194311888759,NA,-85.72079855916539,-75.2443819689696,-82.05775829414051,-90.60654744562605,NA,-84.3094179840196,-85.4316177222262,NA,NA,-80.39164925065069,-80.33104553927033,-85.02384439195632,-84.76518072993758
2020-04-03,-79.69405819406354,-74.40319423445332,NA,-81.9100938969657,-72.82583643776732,-75.99548932602133,-85.15135892455775,NA,-81.6521805671579,-85.05067410882037,NA,NA,-73.10469250391934,-75.85809205175977,-82.30960623948468,-80.69097620096075
2020-04-04,-82.83528972164812,-79.85573238140111,NA,-84.92714052049674,-76.46177707238792,-79.31292430968465,-86.08921091711393,NA,-86.61752233495093,-86.70906773409844,NA,NA,-76.57878488152602,-80.49678185978989,-85.20434791441133,-83.98744796355197
2020-04-05,-76.77743035591926,-71.74753906067738,NA,-83.46875805954964,-64.44931722539305,-74.38048550107548,-79.19005872058581,NA,-87.87057525650918,-80.35236954348164,NA,NA,-71.50488256097174,-73.13211501251648,-72.29500340105484,-76.56485873084073
2020-04-06,-76.57456250739253,-70.85246016991135,NA,-77.20449443063544,-67.50044953717847,-71.43389613099284,-83.67359007943833,NA,-79.8319059795813,-80.5910560180467,NA,NA,-70.52503495944234,-72.3853379869196,-80.07384567828268,-78.19242557075526
2020-04-07,-72.09536921690544,-65.33503357459247,NA,-76.4948820085767,-63.896998253826496,-69.33660086040581,-79.81786901426399,NA,-76.31379250974065,-80.32754615012688,NA,NA,-63.40698436145652,-67.01625206869281,-76.3014175634822,-72.68773110805553
2020-04-08,-71.9826648566128,-64.29395567499148,NA,-76.13004762738365,-66.75319445800021,-68.17794850294912,-80.14819381493774,NA,-76.38935829661325,-79.77283878323766,NA,NA,-60.80813293644027,-67.24943921733079,-76.94893813609859,-71.87923511728879
2020-04-09,-70.29370951451325,-60.81288126825967,NA,-75.75375248028924,-64.44740608708312,-68.49883564008887,-78.6153708363727,NA,-77.60319353131356,-78.25765704269863,NA,NA,-57.10851246249725,-66.26851145983709,-73.79728933132857,-70.89385058633047
2020-04-10,-87.70975330430436,-86.29209391468127,NA,-91.10162814985036,-84.16748673798068,-87.97399479266315,-90.19895368573036,NA,-89.55119661771364,-88.03998351627324,NA,NA,-85.92140623401247,-86.10869075924305,-87.50505154189344,-88.89898900615289
2020-04-11,-76.99961895192473,-73.99954991590958,NA,-82.99982172141931,-74.00023092921245,-76.00029302567911,-80.00041693042581,NA,-85.00003188429827,-82.00026096387884,NA,NA,-68.00007997450224,-74.00030352872652,-80.00030720617139,-78.00015541837315
