"g1name","g2name","value"
"UGA","AUT",4.58257569495584
"USA","AUT",3.87298334620742
"URY","AUT",3.87298334620742
"VEN","AUT",5.47722557505166
"VNM","AUT",10.0995049383621
"ZAF","AUT",14.8323969741913
"ZMB","AUT",10
"ZWE","AUT",6.2449979983984
"ARE","AUS",8
"AFG","AUS",9.05538513813742
"AGO","AUS",10.5830052442584
"ARG","AUS",8
"AUT","AUS",5.29150262212918
"AUS","AUS",0
"BIH","AUS",5.8309518948453
"BGD","AUS",7.14142842854285
"BEL","AUS",6.78232998312527
"BFA","AUS",6.6332495807108
"BGR","AUS",6.85565460040104
"BOL","AUS",9.53939201416946
"BRA","AUS",9.21954445729289
"BWA","AUS",11.6189500386223
"CAN","AUS",4.35889894354067
"CHE","AUS",3.46410161513775
"CHL","AUS",6.557438524302
"CMR","AUS",9.38083151964686
"COL","AUS",12.5299640861417
"CRI","AUS",7.41619848709566
"CZE","AUS",5.91607978309962
"DNK","AUS",5.56776436283002
"DOM","AUS",8.42614977317636
"ECU","AUS",9.2736184954957
"EST","AUS",8.66025403784439
"EGY","AUS",18.6815416922694
"ESP","AUS",5.8309518948453
"FIN","AUS",6.48074069840786
"FRA","AUS",9.48683298050514
"GAB","AUS",13.490737563232
"GBR","AUS",7.34846922834953
"GHA","AUS",7
"GRC","AUS",5
"GTM","AUS",4.89897948556636
"HKG","AUS",10.6301458127346
"HND","AUS",11.3578166916005
"HRV","AUS",7.07106781186548
"HUN","AUS",7.28010988928052
"IDN","AUS",8.88819441731559
"IRL","AUS",14.142135623731
"ISR","AUS",5.56776436283002
"IND","AUS",6.6332495807108
"IRQ","AUS",8.83176086632785
"ITA","AUS",7.87400787401181
"JAM","AUS",7.41619848709566
"JOR","AUS",6.85565460040104
"JPN","AUS",12.4899959967968
"KEN","AUS",7.54983443527075
"KGZ","AUS",8.42614977317636
"KOR","AUS",19.157244060668
"KWT","AUS",6.32455532033676
"KAZ","AUS",11.6619037896906
"LAO","AUS",7.61577310586391
"LBN","AUS",12.6095202129185
"LKA","AUS",6.70820393249937
"LBY","AUS",7.28010988928052
"MDA","AUS",12.2882057274445
"MLI","AUS",8.42614977317636
"MMR","AUS",8.66025403784439
"MUS","AUS",10.9544511501033
"MEX","AUS",12.1655250605964
"MYS","AUS",7.14142842854285
"MOZ","AUS",4.69041575982343
"NER","AUS",7.41619848709566
"NGA","AUS",7.93725393319377
"NLD","AUS",3.3166247903554
"NOR","AUS",8.77496438739212
"NZL","AUS",6.557438524302
"OMN","AUS",9.69535971483266
"PAN","AUS",10.9087121146357
"PER","AUS",7.61577310586391
"PHL","AUS",7.93725393319377
"PAK","AUS",8.88819441731559
"POL","AUS",7.93725393319377
"PRI","AUS",7.68114574786861
"PRT","AUS",7.93725393319377
"PRY","AUS",7.07106781186548
"QAT","AUS",7.54983443527075
"ROU","AUS",8
"RWA","AUS",9.16515138991168
"SAU","AUS",8.24621125123532
"SWE","AUS",4.12310562561766
"SGP","AUS",11.3578166916005
"SVN","AUS",9
"SVK","AUS",6.16441400296898
"SLV","AUS",9.38083151964686
"THA","AUS",9.53939201416946
"TUR","AUS",5.56776436283002
"TTO","AUS",4
"TZA","AUS",8.77496438739212
"UGA","AUS",6.85565460040104
"USA","AUS",5
"URY","AUS",7.81024967590665
"VEN","AUS",8.48528137423857
"VNM","AUS",12.1655250605964
"ZAF","AUS",15.6843871413581
"ZMB","AUS",12.9614813968157
"ZWE","AUS",8.77496438739212
"ARE","BIH",3.74165738677394
"AFG","BIH",6.78232998312527
"AGO","BIH",9.05538513813742
"ARG","BIH",4.69041575982343
"AUT","BIH",1.4142135623731
"AUS","BIH",5.8309518948453
"BIH","BIH",0
"BGD","BIH",2.23606797749979
"BEL","BIH",3.74165738677394
"BFA","BIH",2
"BGR","BIH",2.23606797749979
"BOL","BIH",7
"BRA","BIH",5.56776436283002
"BWA","BIH",10.5356537528527
"CAN","BIH",4.35889894354067
"CHE","BIH",3.74165738677394
"CHL","BIH",3.87298334620742
"CMR","BIH",5.47722557505166
"COL","BIH",11.0905365064094
"CRI","BIH",4.35889894354067
"CZE","BIH",2.23606797749979
"DNK","BIH",3
"DOM","BIH",5.3851648071345
"ECU","BIH",6
"EST","BIH",5.56776436283002
"EGY","BIH",16.7630546142402
"ESP","BIH",2.82842712474619
"FIN","BIH",4.24264068711928
"FRA","BIH",5.65685424949238
"GAB","BIH",11.8321595661992
"GBR","BIH",5.8309518948453
"GHA","BIH",5.56776436283002
"GRC","BIH",4.12310562561766
"GTM","BIH",1.4142135623731
"HKG","BIH",10.1488915650922
"HND","BIH",9.53939201416946
"HRV","BIH",2.82842712474619
"HUN","BIH",4.79583152331272
"IDN","BIH",5
"IRL","BIH",11.0453610171873
"ISR","BIH",3.3166247903554
"IND","BIH",2
"IRQ","BIH",6.32455532033676
"ITA","BIH",4.47213595499958
"JAM","BIH",3.87298334620742
"JOR","BIH",3.87298334620742
"JPN","BIH",7.48331477354788
"KEN","BIH",4.12310562561766
"KGZ","BIH",3
"KOR","BIH",18.8414436814168
"KWT","BIH",3.74165738677394
"KAZ","BIH",8.36660026534076
"LAO","BIH",2.82842712474619
"LBN","BIH",10.6301458127346
"LKA","BIH",1.73205080756888
"LBY","BIH",4.35889894354067
"MDA","BIH",9.8488578017961
"MLI","BIH",4.58257569495584
"MMR","BIH",6.85565460040104
"MUS","BIH",8.36660026534076
"MEX","BIH",10.3923048454133
"MYS","BIH",2.23606797749979
"MOZ","BIH",4.47213595499958
"NER","BIH",5.74456264653803
"NGA","BIH",4.58257569495584
"NLD","BIH",5.56776436283002
"NOR","BIH",6.70820393249937
"NZL","BIH",5.56776436283002
"OMN","BIH",7.48331477354788
"PAN","BIH",8.88819441731559
"PER","BIH",4.24264068711928
"PHL","BIH",5.3851648071345
"PAK","BIH",3.87298334620742
"POL","BIH",3.3166247903554
"PRI","BIH",6.85565460040104
"PRT","BIH",4.58257569495584
"PRY","BIH",3.16227766016838
